Report_Name	Journal Requests by YOP (Excluding OA_Gold)
Report_ID	TR_J4
Release	5
Institution_Name	Robertson Library, UPEI
Institution_ID	SN:3000162182
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T14:02:16Z
Created_By	SpringerNature

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Archive for Mathematical Logic	Springer-Verlag		SpringerLink		SN:153	0933-5846	1432-0665		2004	Total_Item_Requests	1	1	0
Archives of Dermatological Research	Springer-Verlag		SpringerLink		SN:403	0340-3696	1432-069X		2009	Unique_Item_Requests	1	1	0
Archives of Dermatological Research	Springer-Verlag		SpringerLink		SN:403	0340-3696	1432-069X		2009	Total_Item_Requests	2	2	0
Archives of Gynecology and Obstetrics	Springer Berlin Heidelberg		SpringerLink	10.1007/404.1432-0711	SN:404		1432-0711		2023	Unique_Item_Requests	2	2	0
Archives of Gynecology and Obstetrics	Springer Berlin Heidelberg		SpringerLink	10.1007/404.1432-0711	SN:404		1432-0711		2023	Total_Item_Requests	5	5	0
Archives of Microbiology	Springer-Verlag		SpringerLink		SN:203	0302-8933	1432-072X		1993	Unique_Item_Requests	1	1	0
Archives of Microbiology	Springer-Verlag		SpringerLink		SN:203	0302-8933	1432-072X		1993	Total_Item_Requests	1	1	0
Archives of Microbiology	Springer-Verlag		SpringerLink		SN:203	0302-8933	1432-072X		2001	Unique_Item_Requests	1	1	0
Archives of Microbiology	Springer-Verlag		SpringerLink		SN:203	0302-8933	1432-072X		2001	Total_Item_Requests	1	1	0
Archives of Microbiology	Springer Berlin Heidelberg		SpringerLink	10.1007/203.1432-072X	SN:203	0302-8933	1432-072X		2023	Unique_Item_Requests	1	1	0
Archives of Microbiology	Springer Berlin Heidelberg		SpringerLink	10.1007/203.1432-072X	SN:203	0302-8933	1432-072X		2023	Total_Item_Requests	3	3	0
Archives of Sexual Behavior	Kluwer Academic Publishers-Plenum Publishers		SpringerLink		SN:10508	0004-0002	1573-2800		1979	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Kluwer Academic Publishers-Plenum Publishers		SpringerLink		SN:10508	0004-0002	1573-2800		1979	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Kluwer Academic Publishers-Plenum Publishers		SpringerLink		SN:10508	0004-0002	1573-2800		2004	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Kluwer Academic Publishers-Plenum Publishers		SpringerLink		SN:10508	0004-0002	1573-2800		2004	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink		SN:10508	0004-0002	1573-2800		2009	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink		SN:10508	0004-0002	1573-2800		2009	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink		SN:10508	0004-0002	1573-2800		2010	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink		SN:10508	0004-0002	1573-2800		2010	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2014	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2014	Total_Item_Requests	2	2	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2015	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2015	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2017	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2017	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2018	Unique_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2018	Total_Item_Requests	1	1	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2019	Unique_Item_Requests	2	2	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2019	Total_Item_Requests	2	2	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2021	Unique_Item_Requests	4	4	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2021	Total_Item_Requests	6	6	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2022	Unique_Item_Requests	6	6	0
Archives of Sexual Behavior	Springer US		SpringerLink	10.1007/10508.1573-2800	SN:10508	0004-0002	1573-2800		2022	Total_Item_Requests	11	11	0
Archives of Toxicology	Springer-Verlag		SpringerLink		SN:204	0340-5761	1432-0738		1981	Unique_Item_Requests	1	1	0
Archives of Toxicology	Springer-Verlag		SpringerLink		SN:204	0340-5761	1432-0738		1981	Total_Item_Requests	1	1	0
Archives of Toxicology	Springer-Verlag		SpringerLink		SN:204	0340-5761	1432-0738		1996	Unique_Item_Requests	1	1	0
Archives of Toxicology	Springer-Verlag		SpringerLink		SN:204	0340-5761	1432-0738		1996	Total_Item_Requests	1	1	0
