Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Unique_Item_Investigations	1	1	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Searches_Automated	19288	19288	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Searches_Regular	102	102	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Total_Item_Investigations	4	4	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Unique_Item_Investigations	4	4	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Searches_Automated	15735	15735	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Total_Item_Investigations	1	1	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Unique_Item_Investigations	1	1	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Searches_Automated	15452	15452	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Total_Item_Investigations	30	30	0
