Report_Name	Database Search and Item Usage
Report_ID	DR_D1
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	Searches_Automated; Searches_Federated; Searches_Regular; Total_Item_Investigations; Total_Item_Requests
Report_Filters	Access_Method=Regular
Report_Attributes	
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:04Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
eBook Academic Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e000xna	Searches_Regular	104	104	0
eBook Academic Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e000xna	Total_Item_Investigations	1323	1323	0
eBook Academic Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e000xna	Total_Item_Requests	761	761	0
eBook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlebk	Searches_Automated	22759	22759	0
eBook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlebk	Searches_Regular	141	141	0
eBook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlebk	Total_Item_Investigations	1424	1424	0
eBook Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:nlebk	Total_Item_Requests	920	920	0
eBook Index	EBSCO Publishing		EBSCOhost	EBSCOhost:edsebk	Searches_Automated	15823	15823	0
eBook Index	EBSCO Publishing		EBSCOhost	EBSCOhost:edsebk	Total_Item_Investigations	518	518	0
eBook Open Access (OA) Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e001mww	Searches_Automated	15787	15787	0
eBook Open Access (OA) Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e001mww	Searches_Regular	100	100	0
eBook Open Access (OA) Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e001mww	Total_Item_Investigations	12	12	0
eBook Open Access (OA) Collection (EBSCOhost)	Undefined		EBSCOhost	EBSCOhost:e001mww	Total_Item_Requests	6	6	0
EBSCO eClassics Collection (EBSCOhost)	EBSCO Publishing		EBSCOhost	EBSCOhost:e63sww	Searches_Automated	15769	15769	0
EBSCO eClassics Collection (EBSCOhost)	EBSCO Publishing		EBSCOhost	EBSCOhost:e63sww	Searches_Regular	100	100	0
ECONIS	German National Library of Economics		EBSCOhost	EBSCOhost:edszbw	Searches_Automated	15798	15798	0
ECONIS	German National Library of Economics		EBSCOhost	EBSCOhost:edszbw	Total_Item_Investigations	21	21	0
EconLit with Full Text	Undefined		EBSCOhost	EBSCOhost:eoh	Searches_Automated	22775	22775	0
EconLit with Full Text	Undefined		EBSCOhost	EBSCOhost:eoh	Searches_Regular	114	114	0
EconLit with Full Text	Undefined		EBSCOhost	EBSCOhost:eoh	Total_Item_Investigations	127	127	0
EconLit with Full Text	Undefined		EBSCOhost	EBSCOhost:eoh	Total_Item_Requests	43	43	0
EDS consolidated db (academicbasecustomizer)	Undefined		EBSCOhost	EBSCOhost:conacad	Searches_Automated	78	78	0
EDS consolidated db (FULL - use conedsqd2)	Undefined		EBSCOhost	EBSCOhost:conedsqd	Searches_Automated	78	78	0
EDS consolidated db (Korean databases)	Undefined		EBSCOhost	EBSCOhost:conkorean	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no10	Undefined		EBSCOhost	EBSCOhost:conedsqd10	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no11	Undefined		EBSCOhost	EBSCOhost:conedsqd11	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no12	Undefined		EBSCOhost	EBSCOhost:conedsqd12	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no12	Undefined		EBSCOhost	EBSCOhost:conedsqd12	Total_Item_Investigations	4	4	0
EDS consolidated db (QD facet) no13	Undefined		EBSCOhost	EBSCOhost:conedsqd13	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no14	Undefined		EBSCOhost	EBSCOhost:conedsqd14	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no14	Undefined		EBSCOhost	EBSCOhost:conedsqd14	Total_Item_Investigations	1	1	0
EDS consolidated db (QD facet) no15	Undefined		EBSCOhost	EBSCOhost:conedsqd15	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no16	Undefined		EBSCOhost	EBSCOhost:conedsqd16	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no17	Undefined		EBSCOhost	EBSCOhost:conedsqd17	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no18	Undefined		EBSCOhost	EBSCOhost:conedsqd18	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no19	Undefined		EBSCOhost	EBSCOhost:conedsqd19	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no2	Undefined		EBSCOhost	EBSCOhost:conedsqd2	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no20	Undefined		EBSCOhost	EBSCOhost:conedsqd20	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no3	Undefined		EBSCOhost	EBSCOhost:conedsqd3	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no4	Undefined		EBSCOhost	EBSCOhost:conedsqd4	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no5	Undefined		EBSCOhost	EBSCOhost:conedsqd5	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no6	Undefined		EBSCOhost	EBSCOhost:conedsqd6	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no8	Undefined		EBSCOhost	EBSCOhost:conedsqd8	Searches_Automated	78	78	0
EDS consolidated db (QD facet) no9	Undefined		EBSCOhost	EBSCOhost:conedsqd9	Searches_Automated	78	78	0
EDS consolidated db 3 (EDSBaseCustomizer)	Undefined		EBSCOhost	EBSCOhost:coneds3	Searches_Automated	78	78	0
EDS Consolidated NZL	Undefined		EBSCOhost	EBSCOhost:connzl	Searches_Automated	78	78	0
EDS consolidation db #1 (coneds1)	Undefined		EBSCOhost	EBSCOhost:coneds1	Searches_Automated	78	78	0
EDS USPTO Patent Grants consolidated DB	Undefined		EBSCOhost	EBSCOhost:conpgr	Searches_Automated	78	78	0
Education Research Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:ehh	Searches_Automated	22841	22841	0
Education Research Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:ehh	Searches_Regular	139	139	0
Education Research Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:ehh	Total_Item_Investigations	324	324	0
Education Research Complete	EBSCO Publishing		EBSCOhost	EBSCOhost:ehh	Total_Item_Requests	175	175	0
eHRAF World Cultures	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:edsewc	Searches_Automated	15758	15758	0
Eighteenth Century Collections Online	Cengage Learning		EBSCOhost	EBSCOhost:edsgec	Searches_Automated	22697	22697	0
Elgaronline	Edward Elgar Publishing		EBSCOhost	EBSCOhost:edselg	Searches_Automated	15727	15727	0
Elgaronline	Edward Elgar Publishing		EBSCOhost	EBSCOhost:edselg	Total_Item_Investigations	17	17	0
Emerald Insight	Emerald Publishing Group Limited		EBSCOhost	EBSCOhost:edsemr	Searches_Automated	15848	15848	0
Emerald Insight	Emerald Publishing Group Limited		EBSCOhost	EBSCOhost:edsemr	Total_Item_Investigations	100	100	0
ERIC	Computer Sciences Corporation		EBSCOhost	EBSCOhost:eric	Searches_Automated	22808	22808	0
ERIC	Computer Sciences Corporation		EBSCOhost	EBSCOhost:eric	Searches_Regular	234	234	0
ERIC	Computer Sciences Corporation		EBSCOhost	EBSCOhost:eric	Total_Item_Investigations	298	298	0
ERICdata Higher Education Knowledge	Hyweb Technology Co., Ltd.		EBSCOhost	EBSCOhost:edserd	Searches_Automated	15770	15770	0
