Report_Name	Book Usage by Access Type
Report_ID	TR_B3
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:35Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Total_Item_Requests	4	4	0
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Unique_Item_Investigations	4	4	0
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Unique_Item_Requests	3	3	0
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Unique_Title_Investigations	1	1	0
Cities of Strangers	Cambridge University Press		Cambridge Core	10.1017/9781108666510		978-1-108-66651-0			https://doi.org/10.1017/9781108666510	2020	Controlled	Unique_Title_Requests	1	1	0
Cognitive-behavioral Therapy with Adults	Cambridge University Press		Cambridge Core	10.1017/CBO9780511781919		978-0-511-78191-9			https://doi.org/10.1017/CBO9780511781919	2010	Controlled	Total_Item_Investigations	1	1	0
Cognitive-behavioral Therapy with Adults	Cambridge University Press		Cambridge Core	10.1017/CBO9780511781919		978-0-511-78191-9			https://doi.org/10.1017/CBO9780511781919	2010	Controlled	Unique_Item_Investigations	1	1	0
Cognitive-behavioral Therapy with Adults	Cambridge University Press		Cambridge Core	10.1017/CBO9780511781919		978-0-511-78191-9			https://doi.org/10.1017/CBO9780511781919	2010	Controlled	Unique_Title_Investigations	1	1	0
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Total_Item_Investigations	7	0	7
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Total_Item_Requests	3	0	3
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Unique_Item_Investigations	4	0	4
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Unique_Item_Requests	3	0	3
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Unique_Title_Investigations	1	0	1
Controversies in Environmental Sociology	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804434		978-0-511-80443-4			https://doi.org/10.1017/CBO9780511804434	2004	Controlled	Unique_Title_Requests	1	0	1
Counterfactuals and Causal Inference	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804564		978-0-511-80456-4			https://doi.org/10.1017/CBO9780511804564	2007	Controlled	Total_Item_Investigations	1	0	1
Counterfactuals and Causal Inference	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804564		978-0-511-80456-4			https://doi.org/10.1017/CBO9780511804564	2007	Controlled	Unique_Item_Investigations	1	0	1
Counterfactuals and Causal Inference	Cambridge University Press		Cambridge Core	10.1017/CBO9780511804564		978-0-511-80456-4			https://doi.org/10.1017/CBO9780511804564	2007	Controlled	Unique_Title_Investigations	1	0	1
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Total_Item_Investigations	10	0	10
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Total_Item_Requests	10	0	10
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Unique_Item_Investigations	8	0	8
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Unique_Item_Requests	8	0	8
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Unique_Title_Investigations	4	0	4
Cultural Backlash	Cambridge University Press		Cambridge Core	10.1017/9781108595841		978-1-108-59584-1			https://doi.org/10.1017/9781108595841	2019	Controlled	Unique_Title_Requests	4	0	4
Descartes: Meditations on First Philosophy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511805028		978-0-511-80502-8			https://doi.org/10.1017/CBO9780511805028	1996	Controlled	Total_Item_Investigations	1	0	1
Descartes: Meditations on First Philosophy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511805028		978-0-511-80502-8			https://doi.org/10.1017/CBO9780511805028	1996	Controlled	Unique_Item_Investigations	1	0	1
Descartes: Meditations on First Philosophy	Cambridge University Press		Cambridge Core	10.1017/CBO9780511805028		978-0-511-80502-8			https://doi.org/10.1017/CBO9780511805028	1996	Controlled	Unique_Title_Investigations	1	0	1
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Total_Item_Investigations	8	2	6
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Total_Item_Requests	6	1	5
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Unique_Item_Investigations	8	2	6
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Unique_Item_Requests	6	1	5
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Unique_Title_Investigations	2	1	1
Divided Environments	Cambridge University Press		Cambridge Core	10.1017/9781009106801		978-1-009-10680-1			https://doi.org/10.1017/9781009106801	2022	Controlled	Unique_Title_Requests	2	1	1
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Total_Item_Investigations	497	328	169
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Total_Item_Requests	379	252	127
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Unique_Item_Investigations	415	279	136
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Unique_Item_Requests	335	229	106
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Unique_Title_Investigations	86	55	31
Ecosystem Services	Cambridge University Press		Cambridge Core	10.1017/CBO9781107477612		978-1-107-47761-2			https://doi.org/10.1017/CBO9781107477612	2015	Controlled	Unique_Title_Requests	61	37	24
Essential Equations for Anaesthesia	Cambridge University Press		Cambridge Core	10.1017/CBO9781139565387		978-1-139-56538-7			https://doi.org/10.1017/CBO9781139565387	2014	Controlled	Total_Item_Investigations	3	2	1
Essential Equations for Anaesthesia	Cambridge University Press		Cambridge Core	10.1017/CBO9781139565387		978-1-139-56538-7			https://doi.org/10.1017/CBO9781139565387	2014	Controlled	Unique_Item_Investigations	3	2	1
Essential Equations for Anaesthesia	Cambridge University Press		Cambridge Core	10.1017/CBO9781139565387		978-1-139-56538-7			https://doi.org/10.1017/CBO9781139565387	2014	Controlled	Unique_Title_Investigations	3	2	1
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Total_Item_Investigations	2	0	2
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Total_Item_Requests	2	0	2
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Unique_Item_Investigations	1	0	1
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Unique_Item_Requests	1	0	1
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Unique_Title_Investigations	1	0	1
Evolving Financial Markets and International Capital Flows	Cambridge University Press		Cambridge Core	10.1017/CBO9780511510878		978-0-511-51087-8			https://doi.org/10.1017/CBO9780511510878	2001	Controlled	Unique_Title_Requests	1	0	1
Focus Groups for the Social Science Researcher	Cambridge University Press		Cambridge Core	10.1017/9781316987124		978-1-316-98712-4			https://doi.org/10.1017/9781316987124	2019	Controlled	Total_Item_Investigations	1	1	0
Focus Groups for the Social Science Researcher	Cambridge University Press		Cambridge Core	10.1017/9781316987124		978-1-316-98712-4			https://doi.org/10.1017/9781316987124	2019	Controlled	Unique_Item_Investigations	1	1	0
Focus Groups for the Social Science Researcher	Cambridge University Press		Cambridge Core	10.1017/9781316987124		978-1-316-98712-4			https://doi.org/10.1017/9781316987124	2019	Controlled	Unique_Title_Investigations	1	1	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Total_Item_Investigations	7	7	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Total_Item_Requests	3	3	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Unique_Item_Investigations	6	6	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Unique_Item_Requests	3	3	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Unique_Title_Investigations	3	3	0
French Music and Jazz in Conversation	Cambridge University Press		Cambridge Core	10.1017/CBO9781139775359		978-1-139-77535-9			https://doi.org/10.1017/CBO9781139775359	2014	Controlled	Unique_Title_Requests	2	2	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Total_Item_Investigations	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Total_Item_Requests	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Unique_Item_Investigations	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Unique_Item_Requests	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Unique_Title_Investigations	1	1	0
How Cities Matter	Cambridge University Press		Cambridge Core	10.1017/9781108782432		978-1-108-78243-2			https://doi.org/10.1017/9781108782432	2021	Controlled	Unique_Title_Requests	1	1	0
