Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	CUP:12159
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-05T15:49:38Z
Created_By	Cambridge Core

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
International Review of Social History	Cambridge University Press		Cambridge Core		CUP:ISH	0020-8590	1469-512X	https://www.cambridge.org/core/product/identifier/ISH/type/journal	Total_Item_Requests	2	0	2
International Review of Social History	Cambridge University Press		Cambridge Core		CUP:ISH	0020-8590	1469-512X	https://www.cambridge.org/core/product/identifier/ISH/type/journal	Unique_Item_Requests	1	0	1
Invasive Plant Science and Management	Cambridge University Press		Cambridge Core		CUP:INP	1939-7291	1939-747X	https://www.cambridge.org/core/product/identifier/INP/type/journal	Total_Item_Requests	2	2	0
Invasive Plant Science and Management	Cambridge University Press		Cambridge Core		CUP:INP	1939-7291	1939-747X	https://www.cambridge.org/core/product/identifier/INP/type/journal	Unique_Item_Requests	1	1	0
Journal of Anglican Studies	Cambridge University Press		Cambridge Core		CUP:AST	1740-3553	1745-5278	https://www.cambridge.org/core/product/identifier/AST/type/journal	Total_Item_Requests	4	0	4
Journal of Anglican Studies	Cambridge University Press		Cambridge Core		CUP:AST	1740-3553	1745-5278	https://www.cambridge.org/core/product/identifier/AST/type/journal	Unique_Item_Requests	1	0	1
Journal of Benefit-Cost Analysis	Cambridge University Press		Cambridge Core		CUP:BCA	2194-5888	2152-2812	https://www.cambridge.org/core/product/identifier/BCA/type/journal	Total_Item_Requests	3	0	3
Journal of Benefit-Cost Analysis	Cambridge University Press		Cambridge Core		CUP:BCA	2194-5888	2152-2812	https://www.cambridge.org/core/product/identifier/BCA/type/journal	Unique_Item_Requests	3	0	3
Journal of Biosocial Science	Cambridge University Press		Cambridge Core		CUP:JBS	0021-9320	1469-7599	https://www.cambridge.org/core/product/identifier/JBS/type/journal	Total_Item_Requests	1	1	0
Journal of Biosocial Science	Cambridge University Press		Cambridge Core		CUP:JBS	0021-9320	1469-7599	https://www.cambridge.org/core/product/identifier/JBS/type/journal	Unique_Item_Requests	1	1	0
Journal of British Studies	Cambridge University Press		Cambridge Core		CUP:JBR	0021-9371	1545-6986	https://www.cambridge.org/core/product/identifier/JBR/type/journal	Total_Item_Requests	1	0	1
Journal of British Studies	Cambridge University Press		Cambridge Core		CUP:JBR	0021-9371	1545-6986	https://www.cambridge.org/core/product/identifier/JBR/type/journal	Unique_Item_Requests	1	0	1
Journal of Dairy Research	Cambridge University Press		Cambridge Core		CUP:DAR	0022-0299	1469-7629	https://www.cambridge.org/core/product/identifier/DAR/type/journal	Total_Item_Requests	5	5	0
Journal of Dairy Research	Cambridge University Press		Cambridge Core		CUP:DAR	0022-0299	1469-7629	https://www.cambridge.org/core/product/identifier/DAR/type/journal	Unique_Item_Requests	3	3	0
Journal of Developmental Origins of Health and Disease	Cambridge University Press		Cambridge Core		CUP:DOH	2040-1744	2040-1752	https://www.cambridge.org/core/product/identifier/DOH/type/journal	Total_Item_Requests	2	0	2
Journal of Developmental Origins of Health and Disease	Cambridge University Press		Cambridge Core		CUP:DOH	2040-1744	2040-1752	https://www.cambridge.org/core/product/identifier/DOH/type/journal	Unique_Item_Requests	1	0	1
Journal of European Archaeology	Cambridge University Press		Cambridge Core		CUP:EAX	0965-7665	2057-7869	https://www.cambridge.org/core/product/identifier/EAX/type/journal	Total_Item_Requests	1	0	1
Journal of European Archaeology	Cambridge University Press		Cambridge Core		CUP:EAX	0965-7665	2057-7869	https://www.cambridge.org/core/product/identifier/EAX/type/journal	Unique_Item_Requests	1	0	1
Journal of Fluid Mechanics	Cambridge University Press		Cambridge Core		CUP:FLM	0022-1120	1469-7645	https://www.cambridge.org/core/product/identifier/FLM/type/journal	Total_Item_Requests	4	1	3
Journal of Fluid Mechanics	Cambridge University Press		Cambridge Core		CUP:FLM	0022-1120	1469-7645	https://www.cambridge.org/core/product/identifier/FLM/type/journal	Unique_Item_Requests	3	1	2
Journal of Glaciology	Cambridge University Press		Cambridge Core		CUP:JOG	0022-1430	1727-5652	https://www.cambridge.org/core/product/identifier/JOG/type/journal	Total_Item_Requests	2	0	2
Journal of Glaciology	Cambridge University Press		Cambridge Core		CUP:JOG	0022-1430	1727-5652	https://www.cambridge.org/core/product/identifier/JOG/type/journal	Unique_Item_Requests	1	0	1
Journal of Global History	Cambridge University Press		Cambridge Core		CUP:JGH	1740-0228	1740-0236	https://www.cambridge.org/core/product/identifier/JGH/type/journal	Total_Item_Requests	2	2	0
Journal of Global History	Cambridge University Press		Cambridge Core		CUP:JGH	1740-0228	1740-0236	https://www.cambridge.org/core/product/identifier/JGH/type/journal	Unique_Item_Requests	1	1	0
Journal of Helminthology	Cambridge University Press		Cambridge Core		CUP:JHL	0022-149X	1475-2697	https://www.cambridge.org/core/product/identifier/JHL/type/journal	Total_Item_Requests	12	10	2
Journal of Helminthology	Cambridge University Press		Cambridge Core		CUP:JHL	0022-149X	1475-2697	https://www.cambridge.org/core/product/identifier/JHL/type/journal	Unique_Item_Requests	7	5	2
Journal of Latin American Studies	Cambridge University Press		Cambridge Core		CUP:LAS	0022-216X	1469-767X	https://www.cambridge.org/core/product/identifier/LAS/type/journal	Total_Item_Requests	2	0	2
Journal of Latin American Studies	Cambridge University Press		Cambridge Core		CUP:LAS	0022-216X	1469-767X	https://www.cambridge.org/core/product/identifier/LAS/type/journal	Unique_Item_Requests	1	0	1
Journal of Law, Medicine & Ethics	Cambridge University Press		Cambridge Core		CUP:JME	1073-1105	1748-720X	https://www.cambridge.org/core/product/identifier/JME/type/journal	Total_Item_Requests	4	0	4
Journal of Law, Medicine & Ethics	Cambridge University Press		Cambridge Core		CUP:JME	1073-1105	1748-720X	https://www.cambridge.org/core/product/identifier/JME/type/journal	Unique_Item_Requests	3	0	3
Journal of Mental Science	Cambridge University Press		Cambridge Core		CUP:BJZ	0368-315X	2514-9946	https://www.cambridge.org/core/product/identifier/BJZ/type/journal	Total_Item_Requests	4	0	4
Journal of Mental Science	Cambridge University Press		Cambridge Core		CUP:BJZ	0368-315X	2514-9946	https://www.cambridge.org/core/product/identifier/BJZ/type/journal	Unique_Item_Requests	4	0	4
Journal of Roman Archaeology	Cambridge University Press		Cambridge Core		CUP:JRO	1047-7594	2331-5709	https://www.cambridge.org/core/product/identifier/JRO/type/journal	Total_Item_Requests	1	1	0
Journal of Roman Archaeology	Cambridge University Press		Cambridge Core		CUP:JRO	1047-7594	2331-5709	https://www.cambridge.org/core/product/identifier/JRO/type/journal	Unique_Item_Requests	1	1	0
Journal of the International Neuropsychological Society	Cambridge University Press		Cambridge Core		CUP:INS	1355-6177	1469-7661	https://www.cambridge.org/core/product/identifier/INS/type/journal	Total_Item_Requests	4	1	3
Journal of the International Neuropsychological Society	Cambridge University Press		Cambridge Core		CUP:INS	1355-6177	1469-7661	https://www.cambridge.org/core/product/identifier/INS/type/journal	Unique_Item_Requests	3	1	2
Journal of the International Phonetic Association	Cambridge University Press		Cambridge Core		CUP:IPA	0025-1003	1475-3502	https://www.cambridge.org/core/product/identifier/IPA/type/journal	Total_Item_Requests	1	0	1
Journal of the International Phonetic Association	Cambridge University Press		Cambridge Core		CUP:IPA	0025-1003	1475-3502	https://www.cambridge.org/core/product/identifier/IPA/type/journal	Unique_Item_Requests	1	0	1
Journal of the Marine Biological Association of the United Kingdom	Cambridge University Press		Cambridge Core		CUP:MBI	0025-3154	1469-7769	https://www.cambridge.org/core/product/identifier/MBI/type/journal	Total_Item_Requests	1	1	0
Journal of the Marine Biological Association of the United Kingdom	Cambridge University Press		Cambridge Core		CUP:MBI	0025-3154	1469-7769	https://www.cambridge.org/core/product/identifier/MBI/type/journal	Unique_Item_Requests	1	1	0
Journal of the Royal Asiatic Society	Cambridge University Press		Cambridge Core		CUP:JRA	1356-1863	1474-0591	https://www.cambridge.org/core/product/identifier/JRA/type/journal	Total_Item_Requests	3	2	1
Journal of the Royal Asiatic Society	Cambridge University Press		Cambridge Core		CUP:JRA	1356-1863	1474-0591	https://www.cambridge.org/core/product/identifier/JRA/type/journal	Unique_Item_Requests	3	2	1
Journal of the Royal Musical Association	Cambridge University Press		Cambridge Core		CUP:RMA	0269-0403	1471-6933	https://www.cambridge.org/core/product/identifier/RMA/type/journal	Total_Item_Requests	2	0	2
Journal of the Royal Musical Association	Cambridge University Press		Cambridge Core		CUP:RMA	0269-0403	1471-6933	https://www.cambridge.org/core/product/identifier/RMA/type/journal	Unique_Item_Requests	2	0	2
Language and Cognition	Cambridge University Press		Cambridge Core		CUP:LCO	1866-9808	1866-9859	https://www.cambridge.org/core/product/identifier/LCO/type/journal	Total_Item_Requests	1	0	1
Language and Cognition	Cambridge University Press		Cambridge Core		CUP:LCO	1866-9808	1866-9859	https://www.cambridge.org/core/product/identifier/LCO/type/journal	Unique_Item_Requests	1	0	1
Law & Social Inquiry	Cambridge University Press		Cambridge Core		CUP:LSI	0897-6546	1747-4469	https://www.cambridge.org/core/product/identifier/LSI/type/journal	Total_Item_Requests	2	0	2
Law & Social Inquiry	Cambridge University Press		Cambridge Core		CUP:LSI	0897-6546	1747-4469	https://www.cambridge.org/core/product/identifier/LSI/type/journal	Unique_Item_Requests	2	0	2
Law and History Review	Cambridge University Press		Cambridge Core		CUP:LHR	0738-2480	1939-9022	https://www.cambridge.org/core/product/identifier/LHR/type/journal	Total_Item_Requests	1	0	1
Law and History Review	Cambridge University Press		Cambridge Core		CUP:LHR	0738-2480	1939-9022	https://www.cambridge.org/core/product/identifier/LHR/type/journal	Unique_Item_Requests	1	0	1
Management and Organization Review	Cambridge University Press		Cambridge Core		CUP:MOR	1740-8776	1740-8784	https://www.cambridge.org/core/product/identifier/MOR/type/journal	Total_Item_Requests	1	0	1
Management and Organization Review	Cambridge University Press		Cambridge Core		CUP:MOR	1740-8776	1740-8784	https://www.cambridge.org/core/product/identifier/MOR/type/journal	Unique_Item_Requests	1	0	1
Medical History	Cambridge University Press		Cambridge Core		CUP:MDH	0025-7273	2048-8343	https://www.cambridge.org/core/product/identifier/MDH/type/journal	Total_Item_Requests	1	1	0
Medical History	Cambridge University Press		Cambridge Core		CUP:MDH	0025-7273	2048-8343	https://www.cambridge.org/core/product/identifier/MDH/type/journal	Unique_Item_Requests	1	1	0
Microscopy Today	Cambridge University Press		Cambridge Core		CUP:MTO	1551-9295	2150-3583	https://www.cambridge.org/core/product/identifier/MTO/type/journal	Total_Item_Requests	2	0	2
Microscopy Today	Cambridge University Press		Cambridge Core		CUP:MTO	1551-9295	2150-3583	https://www.cambridge.org/core/product/identifier/MTO/type/journal	Unique_Item_Requests	1	0	1
Modern Asian Studies	Cambridge University Press		Cambridge Core		CUP:ASS	0026-749X	1469-8099	https://www.cambridge.org/core/product/identifier/ASS/type/journal	Total_Item_Requests	3	3	0
