Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	EBSCOhost:uprince
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned (The request could not be fulfilled in its entirety, since some of the requested data is missing. Usage has been returned for months where usage data exists.); 3031: Usage Not Ready for Requested Dates (Service has not yet processed the usage for one or more of the requested months)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:00Z
Created_By	EBSCO Information Services

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Database	Regular	Searches_Automated	3906	3906	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Journal	Regular	Total_Item_Investigations	2	2	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Journal	Regular	Unique_Item_Investigations	2	2	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Other	Regular	Total_Item_Investigations	30	30	0
BASE	Bielefeld University Library		EBSCOhost	EBSCOhost:edsbas	Other	Regular	Unique_Item_Investigations	28	28	0
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Database	Regular	Searches_Automated	15699	15699	0
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Other	Regular	Total_Item_Investigations	1	1	0
BC Open Textbook Project	BCcampus		EBSCOhost	EBSCOhost:edsbcc	Other	Regular	Unique_Item_Investigations	1	1	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Database	Regular	Searches_Automated	19288	19288	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Database	Regular	Searches_Regular	102	102	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Journal	Regular	Total_Item_Investigations	4	4	0
Bibliography of Indigenous Peoples in North America	Human Relations Area Files Inc.		EBSCOhost	EBSCOhost:fph	Journal	Regular	Unique_Item_Investigations	4	4	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Database	Regular	Searches_Automated	15735	15735	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Other	Regular	Total_Item_Investigations	1	1	0
Biodiversity Heritage Library	Biodiversity Heritage Library		EBSCOhost	EBSCOhost:edsbhl	Other	Regular	Unique_Item_Investigations	1	1	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Database	Regular	Searches_Automated	15452	15452	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Journal	Regular	Total_Item_Investigations	30	30	0
Biomedical Index	Undefined		EBSCOhost	EBSCOhost:edm	Journal	Regular	Unique_Item_Investigations	29	29	0
BioOne Complete	BioOne		EBSCOhost	EBSCOhost:edsbio	Database	Regular	Searches_Automated	19268	19268	0
Bloomsbury Human Kinetics Library	Undefined		EBSCOhost	EBSCOhost:edsbhk	Database	Regular	Searches_Automated	15720	15720	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Book	Regular	Total_Item_Investigations	43	43	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Book	Regular	Unique_Item_Investigations	37	37	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Book	Regular	Unique_Title_Investigations	37	37	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Database	Regular	Searches_Automated	15813	15813	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Other	Regular	Total_Item_Investigations	20	20	0
Books at JSTOR	JSTOR		EBSCOhost	EBSCOhost:edsjbk	Other	Regular	Unique_Item_Investigations	16	16	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Book	Regular	Total_Item_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Book	Regular	Unique_Item_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Book	Regular	Unique_Title_Investigations	1	1	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Database	Regular	Searches_Automated	15719	15719	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Other	Regular	Total_Item_Investigations	2	2	0
Brill E-Book Collection	Brill Academic Publishers		EBSCOhost	EBSCOhost:edsbeb	Other	Regular	Unique_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Book	Regular	Total_Item_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Book	Regular	Unique_Item_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Book	Regular	Unique_Title_Investigations	1	1	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Database	Regular	Searches_Automated	19299	19299	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Journal	Regular	Total_Item_Investigations	354	354	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Journal	Regular	Unique_Item_Investigations	323	323	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	2	2	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Other	Regular	Total_Item_Investigations	9	9	0
British Library Document Supply Centre Inside Serials & Conference Proceedings	British Library/ Document Supply Centre		EBSCOhost	EBSCOhost:edsbl	Other	Regular	Unique_Item_Investigations	8	8	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Database	Regular	Searches_Automated	15721	15721	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Other	Regular	Total_Item_Investigations	48	48	0
British Library EThOS	British Library Board		EBSCOhost	EBSCOhost:edsble	Other	Regular	Unique_Item_Investigations	35	35	0
