Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A randomized controlled trial of mindfulness-based stress reduction on academic resilience and performance in college students	Taylor & Francis		Taylor & Francis Online	10.1080/07448481.2021.1950728						Total_Item_Investigations	8	8	0
A randomized controlled trial of mindfulness-based stress reduction on academic resilience and performance in college students	Taylor & Francis		Taylor & Francis Online	10.1080/07448481.2021.1950728						Total_Item_Requests	8	8	0
A rapid and simple technique for digestion and determination of total phosphorus in animal manures and herbage	Taylor & Francis		Taylor & Francis Online	10.1081/CSS-120004300						Unique_Item_Investigations	1	1	0
A rapid and simple technique for digestion and determination of total phosphorus in animal manures and herbage	Taylor & Francis		Taylor & Francis Online	10.1081/CSS-120004300						Total_Item_Investigations	4	4	0
A rescue dog program in two maximum-security prisons: A qualitative study	Routledge		Taylor & Francis Online	10.1080/10509674.2019.1596189						Unique_Item_Investigations	1	1	0
A rescue dog program in two maximum-security prisons: A qualitative study	Routledge		Taylor & Francis Online	10.1080/10509674.2019.1596189						Unique_Item_Requests	1	1	0
A rescue dog program in two maximum-security prisons: A qualitative study	Routledge		Taylor & Francis Online	10.1080/10509674.2019.1596189						Total_Item_Investigations	1	1	0
A rescue dog program in two maximum-security prisons: A qualitative study	Routledge		Taylor & Francis Online	10.1080/10509674.2019.1596189						Total_Item_Requests	1	1	0
A review of machining feature recognition methodologies	Taylor & Francis		Taylor & Francis Online	10.1080/09511921003642121						Unique_Item_Investigations	1	1	0
A review of machining feature recognition methodologies	Taylor & Francis		Taylor & Francis Online	10.1080/09511921003642121						Total_Item_Investigations	1	1	0
A review of machining feature recognition methodologies	Taylor & Francis		Taylor & Francis Online	10.1080/09511921003642121						No_License	1	1	0
A Review of: “Regina S. Axelrod, David Leonard Downie, and Norman J. Vig (Eds.), The Global Environment: Institutions, Law, and Policy” 2nd ed. 2005. CQ Press, Washington, D.C. 300 pp. ISBN: 1-56802-827-X.	Routledge		Taylor & Francis Online	10.1080/13880290600817683						Unique_Item_Investigations	3	3	0
A Review of: “Regina S. Axelrod, David Leonard Downie, and Norman J. Vig (Eds.), The Global Environment: Institutions, Law, and Policy” 2nd ed. 2005. CQ Press, Washington, D.C. 300 pp. ISBN: 1-56802-827-X.	Routledge		Taylor & Francis Online	10.1080/13880290600817683						Unique_Item_Requests	3	3	0
A Review of: “Regina S. Axelrod, David Leonard Downie, and Norman J. Vig (Eds.), The Global Environment: Institutions, Law, and Policy” 2nd ed. 2005. CQ Press, Washington, D.C. 300 pp. ISBN: 1-56802-827-X.	Routledge		Taylor & Francis Online	10.1080/13880290600817683						Total_Item_Investigations	3	3	0
A Review of: “Regina S. Axelrod, David Leonard Downie, and Norman J. Vig (Eds.), The Global Environment: Institutions, Law, and Policy” 2nd ed. 2005. CQ Press, Washington, D.C. 300 pp. ISBN: 1-56802-827-X.	Routledge		Taylor & Francis Online	10.1080/13880290600817683						Total_Item_Requests	3	3	0
