Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	coherentdigital:university_of_prince_edward_island_ca
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:40:11+00:00
Created_By	LibLynx LLC for Coherent Digital

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital					artifact:1879204																										Repository_Item	2020	Controlled	Regular	Total_Item_Investigations	30	12	18
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital					artifact:1879204																										Repository_Item	2020	Controlled	Regular	Unique_Item_Investigations	10	4	6
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital					artifact:1879204																										Repository_Item	2020	Controlled	Regular	Total_Item_Requests	10	4	6
The Anne of Green Gables Collection : Six Novels (Anne of Green Gables, Anne of Avonlea, Anne’s House of Dreams, Rainbow Valley, and Rilla of Ingleside) with 27 short stories from Avonlea	Engage Books		Coherent Digital					artifact:1879204																										Repository_Item	2020	Controlled	Regular	Unique_Item_Requests	10	4	6
The Education of Augie Merasty : A Residential School Memoir - New Edition	University of Regina Press		Coherent Digital					artifact:2300621																										Repository_Item	2017	Controlled	Regular	Total_Item_Investigations	1	1	0
The Education of Augie Merasty : A Residential School Memoir - New Edition	University of Regina Press		Coherent Digital					artifact:2300621																										Repository_Item	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital					artifact:1874423																										Repository_Item	2006	Controlled	Regular	Total_Item_Investigations	2	0	2
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital					artifact:1874423																										Repository_Item	2006	Controlled	Regular	Unique_Item_Investigations	1	0	1
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital					artifact:1874423																										Repository_Item	2006	Controlled	Regular	Total_Item_Requests	1	0	1
The Oxford Companion to Canadian History	Oxford University Press Canada		Coherent Digital					artifact:1874423																										Repository_Item	2006	Controlled	Regular	Unique_Item_Requests	1	0	1
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital					artifact:1873912																										Repository_Item	2000	Controlled	Regular	Total_Item_Investigations	3	3	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital					artifact:1873912																										Repository_Item	2000	Controlled	Regular	Unique_Item_Investigations	1	1	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital					artifact:1873912																										Repository_Item	2000	Controlled	Regular	Total_Item_Requests	1	1	0
The People of Denendeh : Ethnohistory of the Indians of Canada's Northwest Territories	McGill-Queen's University Press		Coherent Digital					artifact:1873912																										Repository_Item	2000	Controlled	Regular	Unique_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1222094																										Repository_Item	2016	Controlled	Regular	Total_Item_Investigations	4	4	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1222094																										Repository_Item	2016	Controlled	Regular	Unique_Item_Investigations	1	1	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1222094																										Repository_Item	2016	Controlled	Regular	Total_Item_Requests	2	2	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1222094																										Repository_Item	2016	Controlled	Regular	Unique_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1229652																										Repository_Item	2017	Controlled	Regular	Total_Item_Investigations	3	3	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1229652																										Repository_Item	2017	Controlled	Regular	Unique_Item_Investigations	1	1	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1229652																										Repository_Item	2017	Controlled	Regular	Total_Item_Requests	1	1	0
Transforming Our Realities	desLibris		Coherent Digital					artifact:1229652																										Repository_Item	2017	Controlled	Regular	Unique_Item_Requests	1	1	0
UBC Press	Coherent Digital		Coherent Digital					organization:ubc-press																										Other	2021	Controlled	Regular	Total_Item_Investigations	1	0	1
UBC Press	Coherent Digital		Coherent Digital					organization:ubc-press																										Other	2021	Controlled	Regular	Unique_Item_Investigations	1	0	1
UBC Press	Coherent Digital		Coherent Digital					organization:ubc-press																										Other	2021	Controlled	Regular	Total_Item_Requests	1	0	1
UBC Press	Coherent Digital		Coherent Digital					organization:ubc-press																										Other	2021	Controlled	Regular	Unique_Item_Requests	1	0	1
UNIVERSITIES CANADA’S Commitments to TRUTH and RECONCILIATION	Association of Universities & Colleges in Canada		Coherent Digital					artifact:3743076																										Repository_Item	2023	Controlled	Regular	Total_Item_Investigations	1	0	1
UNIVERSITIES CANADA’S Commitments to TRUTH and RECONCILIATION	Association of Universities & Colleges in Canada		Coherent Digital					artifact:3743076																										Repository_Item	2023	Controlled	Regular	Unique_Item_Investigations	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital					organization:university-of-toronto-press																										Other	2021	Controlled	Regular	Total_Item_Investigations	1	0	1
University of Toronto Press	Coherent Digital		Coherent Digital					organization:university-of-toronto-press																										Other	2021	Controlled	Regular	Unique_Item_Investigations	1	0	1
