Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	tandf:1453391
Metric_Types	
Report_Filters	
Report_Attributes	Include_Parent_Details=True; Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP|Authors|Publication_Date|Article_Version
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	End_Date=2024-02-29; Begin_Date=2024-01-01
Created	2024-03-01T06:03:49Z
Created_By	Taylor & Francis

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Family Survives Genocide	Routledge		Taylor & Francis Online	Stevan Weine, Dolores Vojvoda, Stephen Hartman, Leslie Hyman; 	2016-09-28	VoR	10.1080/00332747.1997.11024783						Psychiatry				Journal	10.1080/upsy20	tandf:upsy20		0033-2747	1943-281X												Article	1997	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	Stevan Weine, Dolores Vojvoda, Stephen Hartman, Leslie Hyman; 	2016-09-28	VoR	10.1080/00332747.1997.11024783						Psychiatry				Journal	10.1080/upsy20	tandf:upsy20		0033-2747	1943-281X												Article	1997	Controlled	Regular	Unique_Item_Requests	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	Stevan Weine, Dolores Vojvoda, Stephen Hartman, Leslie Hyman; 	2016-09-28	VoR	10.1080/00332747.1997.11024783						Psychiatry				Journal	10.1080/upsy20	tandf:upsy20		0033-2747	1943-281X												Article	1997	Controlled	Regular	Total_Item_Investigations	1	1	0
A Family Survives Genocide	Routledge		Taylor & Francis Online	Stevan Weine, Dolores Vojvoda, Stephen Hartman, Leslie Hyman; 	2016-09-28	VoR	10.1080/00332747.1997.11024783						Psychiatry				Journal	10.1080/upsy20	tandf:upsy20		0033-2747	1943-281X												Article	1997	Controlled	Regular	Total_Item_Requests	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	Penny L. Bernstein, Mickie Strack; 	2015-04-27	VoR	10.2752/089279396787001572						Anthrozoös				Journal	10.1080/rfan20	tandf:rfan20		0892-7936	1753-0377												Article	1996	Controlled	Regular	Unique_Item_Investigations	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	Penny L. Bernstein, Mickie Strack; 	2015-04-27	VoR	10.2752/089279396787001572						Anthrozoös				Journal	10.1080/rfan20	tandf:rfan20		0892-7936	1753-0377												Article	1996	Controlled	Regular	Unique_Item_Requests	1	1	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	Penny L. Bernstein, Mickie Strack; 	2015-04-27	VoR	10.2752/089279396787001572						Anthrozoös				Journal	10.1080/rfan20	tandf:rfan20		0892-7936	1753-0377												Article	1996	Controlled	Regular	Total_Item_Investigations	4	4	0
A Game of Cat and House: Spatial Patterns and Behavior of 14 Domestic Cats (Felis Catus) in the Home	Routledge		Taylor & Francis Online	Penny L. Bernstein, Mickie Strack; 	2015-04-27	VoR	10.2752/089279396787001572						Anthrozoös				Journal	10.1080/rfan20	tandf:rfan20		0892-7936	1753-0377												Article	1996	Controlled	Regular	Total_Item_Requests	1	1	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	Jennifer Estes; 	2022-10-20	VoR	10.1080/14442213.2022.2132356						The Asia Pacific Journal of Anthropology				Journal	10.1080/rtap20	tandf:rtap20		1444-2213	1740-9314												Article	2022	Controlled	Regular	Unique_Item_Investigations	3	3	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	Jennifer Estes; 	2022-10-20	VoR	10.1080/14442213.2022.2132356						The Asia Pacific Journal of Anthropology				Journal	10.1080/rtap20	tandf:rtap20		1444-2213	1740-9314												Article	2022	Controlled	Regular	Unique_Item_Requests	3	3	0
A High Price to Pay: Weddings and Waithood in Cambodia	Routledge		Taylor & Francis Online	Jennifer Estes; 	2022-10-20	VoR	10.1080/14442213.2022.2132356						The Asia Pacific Journal of Anthropology				Journal	10.1080/rtap20	tandf:rtap20		1444-2213	1740-9314												Article	2022	Controlled	Regular	Total_Item_Investigations	4	4	0
