Report_Name	Journal Requests (Excluding OA_Gold)
Report_ID	TR_J1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Data_Type=Journal; Access_Method=Regular; Access_Type=Controlled
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:03:00Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Educational Policy	SAGE Publications		SAGE Journals	10.1177/epxa	sage:epxa	0895-9048	1552-3896		Unique_Item_Requests	1	1	0
Educational Policy	SAGE Publications		SAGE Journals	10.1177/epxa	sage:epxa	0895-9048	1552-3896		Total_Item_Requests	1	1	0
Educational Researcher	American Educational Research Association		SAGE Journals	10.1177/edra	sage:edra	0013-189X	1935-102X		Unique_Item_Requests	5	5	0
Educational Researcher	American Educational Research Association		SAGE Journals	10.1177/edra	sage:edra	0013-189X	1935-102X		Total_Item_Requests	5	5	0
Emerging Adulthood	SAGE Publications		SAGE Journals	10.1177/eaxa	sage:eaxa	2167-6968	2167-6984		Unique_Item_Requests	1	1	0
Emerging Adulthood	SAGE Publications		SAGE Journals	10.1177/eaxa	sage:eaxa	2167-6968	2167-6984		Total_Item_Requests	2	2	0
Emotion Review	SAGE Publications		SAGE Journals	10.1177/emra	sage:emra	1754-0739	1754-0747		Unique_Item_Requests	1	1	0
Emotion Review	SAGE Publications		SAGE Journals	10.1177/emra	sage:emra	1754-0739	1754-0747		Total_Item_Requests	1	1	0
Empirical Studies of the Arts	SAGE Publications		SAGE Journals	10.1177/arta	sage:arta	0276-2374	1541-4493		Unique_Item_Requests	1	1	0
Empirical Studies of the Arts	SAGE Publications		SAGE Journals	10.1177/arta	sage:arta	0276-2374	1541-4493		Total_Item_Requests	1	1	0
Energy & Environment	SAGE Publications		SAGE Journals	10.1177/eaea	sage:eaea	0958-305X	2048-4070		Unique_Item_Requests	1	1	0
Energy & Environment	SAGE Publications		SAGE Journals	10.1177/eaea	sage:eaea	0958-305X	2048-4070		Total_Item_Requests	1	1	0
Environment and Planning A: Economy and Space	SAGE Publications		SAGE Journals	10.1177/epna	sage:epna	0308-518X	1472-3409		Unique_Item_Requests	2	2	0
Environment and Planning A: Economy and Space	SAGE Publications		SAGE Journals	10.1177/epna	sage:epna	0308-518X	1472-3409		Total_Item_Requests	2	2	0
Environment and Planning B: Urban Analytics and City Science	SAGE Publications		SAGE Journals	10.1177/epbb	sage:epbb	2399-8083	2399-8091		Unique_Item_Requests	1	1	0
Environment and Planning B: Urban Analytics and City Science	SAGE Publications		SAGE Journals	10.1177/epbb	sage:epbb	2399-8083	2399-8091		Total_Item_Requests	1	1	0
Environment and Planning C: Politics and Space	SAGE Publications		SAGE Journals	10.1177/epcb	sage:epcb	2399-6544	2399-6552		Unique_Item_Requests	1	1	0
Environment and Planning C: Politics and Space	SAGE Publications		SAGE Journals	10.1177/epcb	sage:epcb	2399-6544	2399-6552		Total_Item_Requests	1	1	0
Ethnography	SAGE Publications		SAGE Journals	10.1177/etha	sage:etha	1466-1381	1741-2714		Unique_Item_Requests	1	1	0
Ethnography	SAGE Publications		SAGE Journals	10.1177/etha	sage:etha	1466-1381	1741-2714		Total_Item_Requests	1	1	0
European Journal of Cultural Studies	SAGE Publications		SAGE Journals	10.1177/ecsa	sage:ecsa	1367-5494	1460-3551		Unique_Item_Requests	1	1	0
European Journal of Cultural Studies	SAGE Publications		SAGE Journals	10.1177/ecsa	sage:ecsa	1367-5494	1460-3551		Total_Item_Requests	2	2	0
European Journal of Personality	SAGE Publications		SAGE Journals	10.1177/erpa	sage:erpa	0890-2070	1099-0984		Unique_Item_Requests	1	1	0
European Journal of Personality	SAGE Publications		SAGE Journals	10.1177/erpa	sage:erpa	0890-2070	1099-0984		Total_Item_Requests	3	3	0
European Physical Education Review	SAGE Publications		SAGE Journals	10.1177/epea	sage:epea	1356-336X	1741-2749		Unique_Item_Requests	2	2	0
European Physical Education Review	SAGE Publications		SAGE Journals	10.1177/epea	sage:epea	1356-336X	1741-2749		Total_Item_Requests	2	2	0
Families in Society	SAGE Publications		SAGE Journals	10.1177/fisa	sage:fisa	1044-3894	1945-1350		Unique_Item_Requests	2	2	0
Families in Society	SAGE Publications		SAGE Journals	10.1177/fisa	sage:fisa	1044-3894	1945-1350		Total_Item_Requests	2	2	0
Feminism & Psychology	SAGE Publications		SAGE Journals	10.1177/fapa	sage:fapa	0959-3535	1461-7161		Unique_Item_Requests	3	3	0
Feminism & Psychology	SAGE Publications		SAGE Journals	10.1177/fapa	sage:fapa	0959-3535	1461-7161		Total_Item_Requests	3	3	0
Feminist Theory	SAGE Publications		SAGE Journals	10.1177/ftya	sage:ftya	1464-7001	1741-2773		Unique_Item_Requests	1	1	0
Feminist Theory	SAGE Publications		SAGE Journals	10.1177/ftya	sage:ftya	1464-7001	1741-2773		Total_Item_Requests	1	1	0
Field Methods	SAGE Publications		SAGE Journals	10.1177/fmxd	sage:fmxd	1525-822X	1552-3969		Unique_Item_Requests	2	2	0
Field Methods	SAGE Publications		SAGE Journals	10.1177/fmxd	sage:fmxd	1525-822X	1552-3969		Total_Item_Requests	2	2	0
Food and Nutrition Bulletin	SAGE Publications		SAGE Journals	10.1177/fnba	sage:fnba	0379-5721	1564-8265		Unique_Item_Requests	2	2	0
Food and Nutrition Bulletin	SAGE Publications		SAGE Journals	10.1177/fnba	sage:fnba	0379-5721	1564-8265		Total_Item_Requests	2	2	0
Gender & Society	SAGE Publications		SAGE Journals	10.1177/gasa	sage:gasa	0891-2432	1552-3977		Unique_Item_Requests	2	2	0
Gender & Society	SAGE Publications		SAGE Journals	10.1177/gasa	sage:gasa	0891-2432	1552-3977		Total_Item_Requests	6	6	0
Gifted Child Today	SAGE Publications		SAGE Journals	10.1177/gctc	sage:gctc	1076-2175	2162-951X		Unique_Item_Requests	1	1	0
Gifted Child Today	SAGE Publications		SAGE Journals	10.1177/gctc	sage:gctc	1076-2175	2162-951X		Total_Item_Requests	3	3	0
Global Studies of Childhood	SAGE Publications		SAGE Journals	10.1177/gsca	sage:gsca	2043-6106	2043-6106		Unique_Item_Requests	2	2	0
Global Studies of Childhood	SAGE Publications		SAGE Journals	10.1177/gsca	sage:gsca	2043-6106	2043-6106		Total_Item_Requests	3	3	0
Group & Organization Management	SAGE Publications		SAGE Journals	10.1177/gomb	sage:gomb	1059-6011	1552-3993		Unique_Item_Requests	1	1	0
Group & Organization Management	SAGE Publications		SAGE Journals	10.1177/gomb	sage:gomb	1059-6011	1552-3993		Total_Item_Requests	1	1	0
Health Education & Behavior	SAGE Publications		SAGE Journals	10.1177/hebc	sage:hebc	1090-1981	1552-6127		Unique_Item_Requests	2	2	0
Health Education & Behavior	SAGE Publications		SAGE Journals	10.1177/hebc	sage:hebc	1090-1981	1552-6127		Total_Item_Requests	2	2	0
Health Education Journal	SAGE Publications		SAGE Journals	10.1177/heja	sage:heja	0017-8969	1748-8176		Unique_Item_Requests	1	1	0
Health Education Journal	SAGE Publications		SAGE Journals	10.1177/heja	sage:heja	0017-8969	1748-8176		Total_Item_Requests	3	3	0
Health Promotion Practice	SAGE Publications		SAGE Journals	10.1177/hppa	sage:hppa	1524-8399	1552-6372		Unique_Item_Requests	1	1	0
Health Promotion Practice	SAGE Publications		SAGE Journals	10.1177/hppa	sage:hppa	1524-8399	1552-6372		Total_Item_Requests	1	1	0
HERD: Health Environments Research & Design Journal	SAGE Publications		SAGE Journals	10.1177/hera	sage:hera	1937-5867	2167-5112		Unique_Item_Requests	1	1	0
HERD: Health Environments Research & Design Journal	SAGE Publications		SAGE Journals	10.1177/hera	sage:hera	1937-5867	2167-5112		Total_Item_Requests	1	1	0
History of Psychiatry	SAGE Publications		SAGE Journals	10.1177/hpya	sage:hpya	0957-154X	1740-2360		Unique_Item_Requests	1	1	0
History of Psychiatry	SAGE Publications		SAGE Journals	10.1177/hpya	sage:hpya	0957-154X	1740-2360		Total_Item_Requests	1	1	0
History of the Human Sciences	SAGE Publications		SAGE Journals	10.1177/hhsa	sage:hhsa	0952-6951	1461-720X		Unique_Item_Requests	2	2	0
History of the Human Sciences	SAGE Publications		SAGE Journals	10.1177/hhsa	sage:hhsa	0952-6951	1461-720X		Total_Item_Requests	2	2	0
Human & Experimental Toxicology	SAGE Publications		SAGE Journals	10.1177/hetb	sage:hetb	0960-3271	1477-0903		Unique_Item_Requests	2	2	0
Human & Experimental Toxicology	SAGE Publications		SAGE Journals	10.1177/hetb	sage:hetb	0960-3271	1477-0903		Total_Item_Requests	2	2	0
Human Geography	SAGE Publications		SAGE Journals	10.1177/huga	sage:huga	1942-7786	2633-674X		Unique_Item_Requests	1	1	0
Human Geography	SAGE Publications		SAGE Journals	10.1177/huga	sage:huga	1942-7786	2633-674X		Total_Item_Requests	1	1	0
Human Relations	SAGE Publications		SAGE Journals	10.1177/huma	sage:huma	0018-7267	1741-282X		Unique_Item_Requests	6	6	0
Human Relations	SAGE Publications		SAGE Journals	10.1177/huma	sage:huma	0018-7267	1741-282X		Total_Item_Requests	7	7	0
Human Resource Development Review	SAGE Publications		SAGE Journals	10.1177/hrda	sage:hrda	1534-4843	1552-6712		Unique_Item_Requests	4	4	0
Human Resource Development Review	SAGE Publications		SAGE Journals	10.1177/hrda	sage:hrda	1534-4843	1552-6712		Total_Item_Requests	6	6	0
Humanity & Society	SAGE Publications Inc		SAGE Journals	10.1177/hasa	sage:hasa	0160-5976	2372-9708		Unique_Item_Requests	1	1	0
Humanity & Society	SAGE Publications Inc		SAGE Journals	10.1177/hasa	sage:hasa	0160-5976	2372-9708		Total_Item_Requests	1	1	0
Improving Schools	SAGE Publications		SAGE Journals	10.1177/impa	sage:impa	1365-4802	1475-7583		Unique_Item_Requests	1	1	0
Improving Schools	SAGE Publications		SAGE Journals	10.1177/impa	sage:impa	1365-4802	1475-7583		Total_Item_Requests	1	1	0
Innate Immunity	SAGE Publications Ltd STM		SAGE Journals	10.1177/inib	sage:inib	1753-4259	1753-4267		Unique_Item_Requests	1	1	0
Innate Immunity	SAGE Publications Ltd STM		SAGE Journals	10.1177/inib	sage:inib	1753-4259	1753-4267		Total_Item_Requests	1	1	0
International Journal	SAGE Publications		SAGE Journals	10.1177/ijxa	sage:ijxa	0020-7020	2052-465X		Unique_Item_Requests	2	2	0
International Journal	SAGE Publications		SAGE Journals	10.1177/ijxa	sage:ijxa	0020-7020	2052-465X		Total_Item_Requests	3	3	0
International Journal of Business Communication	SAGE Publications		SAGE Journals	10.1177/jobd	sage:jobd	2329-4884	2329-4892		Unique_Item_Requests	1	1	0
