Report_Name	Journal Article Requests
Report_ID	IR_A1
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	Total_Item_Requests; Unique_Item_Requests
Report_Filters	Access_Method=Regular; Parent_Data_Type=Journal; Data_Type=Article
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:28Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Article_Version	Parent_DOI	Parent_Proprietary_ID	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Access_Type	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	M. Killian Kinney, Paul R. Sterzing, Colleen M. Fisher, Michael R. Woodford, Bryan G. Victor, Rachel E. Gartner; 	2020-06-15	VoR	10.1177/0361684320920834					Psychology of Women Quarterly			10.1177/pwqa	sage:pwqa	0361-6843	1471-6402		Controlled	Unique_Item_Requests	1	1	0
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	M. Killian Kinney, Paul R. Sterzing, Colleen M. Fisher, Michael R. Woodford, Bryan G. Victor, Rachel E. Gartner; 	2020-06-15	VoR	10.1177/0361684320920834					Psychology of Women Quarterly			10.1177/pwqa	sage:pwqa	0361-6843	1471-6402		Controlled	Total_Item_Requests	2	2	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	Sara Soares, Sandra Brochado, Sílvia Fraga; 	2016-04-05	VoR	10.1177/1524838016641668					Trauma, Violence, & Abuse			10.1177/tvaa	sage:tvaa	1524-8380	1552-8324		Controlled	Unique_Item_Requests	1	1	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	Sara Soares, Sandra Brochado, Sílvia Fraga; 	2016-04-05	VoR	10.1177/1524838016641668					Trauma, Violence, & Abuse			10.1177/tvaa	sage:tvaa	1524-8380	1552-8324		Controlled	Total_Item_Requests	2	2	0
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	Zachary T. Smith; 	2019-06-26	VoR	10.1177/1609406919852001					International Journal of Qualitative Methods			10.1177/ijqa	sage:ijqa	1609-4069	1609-4069		OA_Gold	Unique_Item_Requests	1	1	0
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	Zachary T. Smith; 	2019-06-26	VoR	10.1177/1609406919852001					International Journal of Qualitative Methods			10.1177/ijqa	sage:ijqa	1609-4069	1609-4069		OA_Gold	Total_Item_Requests	2	2	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	Robert A. Culpepper; 	2000-08-01	VoR	10.1177/00131640021970754					Educational and Psychological Measurement			10.1177/epma	sage:epma	0013-1644	1552-3888		Controlled	Unique_Item_Requests	1	1	0
A Test of Revised Scales for the Meyer and Allen (1991) Three-Component Commitment Construct	SAGE Publications		SAGE Journals	Robert A. Culpepper; 	2000-08-01	VoR	10.1177/00131640021970754					Educational and Psychological Measurement			10.1177/epma	sage:epma	0013-1644	1552-3888		Controlled	Total_Item_Requests	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	Michael Minkov, Anneli Kaasa; 	2021-05-14	VoR	10.1177/10693971211014468					Cross-Cultural Research			10.1177/ccrc	sage:ccrc	1069-3971	1552-3578		Controlled	Unique_Item_Requests	1	1	0
A Test of the Revised Minkov-Hofstede Model of Culture: Mirror Images of Subjective and Objective Culture across Nations and the 50 US States	SAGE Publications		SAGE Journals	Michael Minkov, Anneli Kaasa; 	2021-05-14	VoR	10.1177/10693971211014468					Cross-Cultural Research			10.1177/ccrc	sage:ccrc	1069-3971	1552-3578		Controlled	Total_Item_Requests	1	1	0
A Theory of Health Promotion for Preterm Infants Based on Levine’s Conservation Model of Nursing	SAGE Publications		SAGE Journals	Linda C. Mefford; 	2004-07-01	VoR	10.1177/0894318404266327					Nursing Science Quarterly			10.1177/nsqa	sage:nsqa	0894-3184	1552-7409		Controlled	Unique_Item_Requests	1	1	0
