Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	Univ of Prince Edward Island
Institution_ID	sage:1000451523
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T06:02:12Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
A participatory action research training initiative to improve police effectiveness	SAGE Publications		SAGE Journals	10.1177/1476750312439901						Unique_Item_Requests	1	1	0
A participatory action research training initiative to improve police effectiveness	SAGE Publications		SAGE Journals	10.1177/1476750312439901						Total_Item_Requests	1	1	0
A participatory action research training initiative to improve police effectiveness	SAGE Publications		SAGE Journals	10.1177/1476750312439901						Total_Item_Investigations	1	1	0
A Participatory Inquiry Paradigm	SAGE Publications		SAGE Journals	10.1177/107780049700300302						Unique_Item_Investigations	1	1	0
A Participatory Inquiry Paradigm	SAGE Publications		SAGE Journals	10.1177/107780049700300302						Total_Item_Investigations	2	2	0
A Pilot Randomized Controlled Trial of Acceptance and Commitment Therapy Guided Self-Help for Overweight and Obese Adults High in Weight Self-Stigma	SAGE Publications		SAGE Journals	10.1177/0145445520975112						Unique_Item_Investigations	1	1	0
A Pilot Randomized Controlled Trial of Acceptance and Commitment Therapy Guided Self-Help for Overweight and Obese Adults High in Weight Self-Stigma	SAGE Publications		SAGE Journals	10.1177/0145445520975112						Unique_Item_Requests	1	1	0
A Pilot Randomized Controlled Trial of Acceptance and Commitment Therapy Guided Self-Help for Overweight and Obese Adults High in Weight Self-Stigma	SAGE Publications		SAGE Journals	10.1177/0145445520975112						Total_Item_Requests	1	1	0
A Pilot Randomized Controlled Trial of Acceptance and Commitment Therapy Guided Self-Help for Overweight and Obese Adults High in Weight Self-Stigma	SAGE Publications		SAGE Journals	10.1177/0145445520975112						Total_Item_Investigations	1	1	0
A Pre-Registered Examination of the Relationship Between Psychopathy, Boredom-Proneness, and University-Level Cheating	SAGE Publications		SAGE Journals	10.1177/00332941231184385						Unique_Item_Investigations	1	1	0
A Pre-Registered Examination of the Relationship Between Psychopathy, Boredom-Proneness, and University-Level Cheating	SAGE Publications		SAGE Journals	10.1177/00332941231184385						Unique_Item_Requests	1	1	0
A Pre-Registered Examination of the Relationship Between Psychopathy, Boredom-Proneness, and University-Level Cheating	SAGE Publications		SAGE Journals	10.1177/00332941231184385						Total_Item_Requests	2	2	0
A Pre-Registered Examination of the Relationship Between Psychopathy, Boredom-Proneness, and University-Level Cheating	SAGE Publications		SAGE Journals	10.1177/00332941231184385						Total_Item_Investigations	2	2	0
A Qualitative Exploration of Fathers’ Antenatal and Postnatal Challenges	SAGE Publications		SAGE Journals	10.1177/0192513X211030060						Unique_Item_Investigations	3	3	0
A Qualitative Exploration of Fathers’ Antenatal and Postnatal Challenges	SAGE Publications		SAGE Journals	10.1177/0192513X211030060						Unique_Item_Requests	3	3	0
A Qualitative Exploration of Fathers’ Antenatal and Postnatal Challenges	SAGE Publications		SAGE Journals	10.1177/0192513X211030060						Total_Item_Requests	4	4	0
A Qualitative Exploration of Fathers’ Antenatal and Postnatal Challenges	SAGE Publications		SAGE Journals	10.1177/0192513X211030060						Total_Item_Investigations	4	4	0
A review of financial-literacy education programs for children and adolescents	SAGE Publications		SAGE Journals	10.1177/2047173417719555						Unique_Item_Investigations	1	1	0
A review of financial-literacy education programs for children and adolescents	SAGE Publications		SAGE Journals	10.1177/2047173417719555						Unique_Item_Requests	1	1	0
A review of financial-literacy education programs for children and adolescents	SAGE Publications		SAGE Journals	10.1177/2047173417719555						Total_Item_Requests	1	1	0
A review of financial-literacy education programs for children and adolescents	SAGE Publications		SAGE Journals	10.1177/2047173417719555						Total_Item_Investigations	1	1	0
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	10.1177/0361684320920834						Unique_Item_Investigations	1	1	0
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	10.1177/0361684320920834						Unique_Item_Requests	1	1	0
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	10.1177/0361684320920834						Total_Item_Requests	2	2	0
A Scoping Review of Measures Assessing Gender Microaggressions Against Women	SAGE Publications		SAGE Journals	10.1177/0361684320920834						Total_Item_Investigations	2	2	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	10.1177/1524838016641668						Unique_Item_Investigations	1	1	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	10.1177/1524838016641668						Unique_Item_Requests	1	1	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	10.1177/1524838016641668						Total_Item_Requests	2	2	0
A Scoping Review on Studies of Cyberbullying Prevalence Among Adolescents	SAGE Publications		SAGE Journals	10.1177/1524838016641668						Total_Item_Investigations	2	2	0
A Student and Postqualitative Inquiry Walk Into a Bar: Syncretistic Methodology and Practices of Becoming-Researcher	SAGE Publications		SAGE Journals	10.1177/1609406919852001						Unique_Item_Investigations	1	1	0
