Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UNIVERSITY OF PRINCE EDWARD ISLAND
Institution_ID	ProQuest:14670
Metric_Types	
Report_Filters	Platform=ProQuest
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3040: Partial Data Returned. (Usage data has not been processed for all requested months.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:53:39Z
Created_By	ProQuest

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5upd	Journal	Regular	Total_Item_Investigations	8	4	4
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5upd	Journal	Regular	Total_Item_Requests	8	4	4
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5upd	Journal	Regular	Unique_Item_Investigations	5	3	2
Periodicals Archive Online Collection 5	ProQuest		ProQuest	Proquest:pao5upd	Journal	Regular	Unique_Item_Requests	5	3	2
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6	Journal	Regular	Total_Item_Investigations	5	1	4
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6	Journal	Regular	Total_Item_Requests	5	1	4
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6	Journal	Regular	Unique_Item_Investigations	3	1	2
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6	Journal	Regular	Unique_Item_Requests	3	1	2
Periodicals Archive Online Collection 6	ProQuest		ProQuest	Proquest:pao6_2	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 7	ProQuest		ProQuest	Proquest:pao7	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 7	ProQuest		ProQuest	Proquest:pao7	Journal	Regular	Total_Item_Investigations	5	0	5
Periodicals Archive Online Collection 7	ProQuest		ProQuest	Proquest:pao7	Journal	Regular	Total_Item_Requests	5	0	5
Periodicals Archive Online Collection 7	ProQuest		ProQuest	Proquest:pao7	Journal	Regular	Unique_Item_Investigations	2	0	2
Periodicals Archive Online Collection 7	ProQuest		ProQuest	Proquest:pao7	Journal	Regular	Unique_Item_Requests	2	0	2
Periodicals Archive Online Collection 8	ProQuest		ProQuest	Proquest:pao8	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 8	ProQuest		ProQuest	Proquest:pao8	Journal	Regular	Total_Item_Investigations	24	1	23
Periodicals Archive Online Collection 8	ProQuest		ProQuest	Proquest:pao8	Journal	Regular	Total_Item_Requests	24	1	23
Periodicals Archive Online Collection 8	ProQuest		ProQuest	Proquest:pao8	Journal	Regular	Unique_Item_Investigations	13	1	12
Periodicals Archive Online Collection 8	ProQuest		ProQuest	Proquest:pao8	Journal	Regular	Unique_Item_Requests	13	1	12
Periodicals Archive Online Collection 9	ProQuest		ProQuest	Proquest:pao9	Database	Regular	Searches_Automated	75	47	28
Periodicals Archive Online Collection 9	ProQuest		ProQuest	Proquest:pao9	Journal	Regular	Total_Item_Investigations	12	2	10
Periodicals Archive Online Collection 9	ProQuest		ProQuest	Proquest:pao9	Journal	Regular	Total_Item_Requests	12	2	10
Periodicals Archive Online Collection 9	ProQuest		ProQuest	Proquest:pao9	Journal	Regular	Unique_Item_Investigations	8	1	7
Periodicals Archive Online Collection 9	ProQuest		ProQuest	Proquest:pao9	Journal	Regular	Unique_Item_Requests	8	1	7
PRISMA Database	ProQuest		ProQuest	Proquest:prismanohapi	Journal	Regular	No_License	2	0	2
ProQuest Dissertations & Theses Global	ProQuest		ProQuest	Proquest:pqdtglobal1	Thesis_or_Dissertation	Regular	No_License	226	117	109
ProQuest Historical Newspapers: The Globe and Mail	ProQuest		ProQuest	Proquest:hnpglobeandmail	Database	Regular	Searches_Regular	90	57	33
ProQuest Historical Newspapers: The Globe and Mail	ProQuest		ProQuest	Proquest:hnpglobeandmail	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	18	6	12
ProQuest Historical Newspapers: The Globe and Mail	ProQuest		ProQuest	Proquest:hnpglobeandmail	Newspaper_or_Newsletter	Regular	Total_Item_Requests	18	6	12
ProQuest Historical Newspapers: The Globe and Mail	ProQuest		ProQuest	Proquest:hnpglobeandmail	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	12	6	6
ProQuest Historical Newspapers: The Globe and Mail	ProQuest		ProQuest	Proquest:hnpglobeandmail	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	12	6	6
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Journal	Regular	No_License	17	7	10
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Journal	Regular	Total_Item_Investigations	1	1	0
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Journal	Regular	Total_Item_Requests	1	1	0
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Journal	Regular	Unique_Item_Investigations	1	1	0
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Journal	Regular	Unique_Item_Requests	1	1	0
ProQuest One Business General Content	ProQuest		ProQuest	Proquest:pq1busgeneral	Other	Regular	No_License	1	1	0
ProQuest One Literature Journals	ProQuest		ProQuest	Proquest:pq1litjournals	Journal	Regular	No_License	1	0	1
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Book	Regular	Total_Item_Investigations	3	1	2
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Book	Regular	Unique_Item_Investigations	2	1	1
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Book	Regular	Unique_Title_Investigations	2	1	1
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Journal	Regular	Total_Item_Investigations	32	15	17
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Journal	Regular	Unique_Item_Investigations	31	15	16
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	2	1	1
ProQuest Preview Content	ProQuest		ProQuest	Proquest:internalopenlayer	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	2	1	1
ProQuest Professional Education	ProQuest		ProQuest	Proquest:educationperiodicals	Journal	Regular	No_License	3	2	1
Psychology Database	ProQuest		ProQuest	Proquest:psychology	Journal	Regular	No_License	2	0	2
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Database	Regular	Searches_Regular	75	47	28
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Journal	Regular	Total_Item_Investigations	63	26	37
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Journal	Regular	Total_Item_Requests	60	24	36
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Journal	Regular	Unique_Item_Investigations	50	19	31
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Journal	Regular	Unique_Item_Requests	50	19	31
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Thesis_or_Dissertation	Regular	Total_Item_Investigations	9	2	7
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Thesis_or_Dissertation	Regular	Total_Item_Requests	9	2	7
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Thesis_or_Dissertation	Regular	Unique_Item_Investigations	9	2	7
Publicly Available Content Database	ProQuest		ProQuest	Proquest:publiccontent	Thesis_or_Dissertation	Regular	Unique_Item_Requests	9	2	7
Research Library: Business	ProQuest		ProQuest	Proquest:pqrlbusinessalumni	Journal	Regular	No_License	1	0	1
Research Library: History	ProQuest		ProQuest	Proquest:pqrlhistoryalumni	Journal	Regular	No_License	1	0	1
Science Database	ProQuest		ProQuest	Proquest:sciencejournals	Journal	Regular	No_License	5	5	0
Social Science Database	ProQuest		ProQuest	Proquest:socscijournals	Journal	Regular	No_License	6	6	0
UK & Ireland Database	ProQuest		ProQuest	Proquest:ukireland	Journal	Regular	No_License	5	0	5
