Report_Name	Database Master Report
Report_ID	DR
Release	5
Institution_Name	UPEI
Institution_ID	Gale:otta0998
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T08:43:28Z
Created_By	Gale

Database	Publisher	Publisher_ID	Platform	Proprietary_ID	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Database	Regular	Searches_Regular	1	1	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Journal	Regular	Total_Item_Investigations	7	7	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Journal	Regular	Total_Item_Requests	7	7	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Journal	Regular	Unique_Item_Investigations	6	6	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Journal	Regular	Unique_Item_Requests	6	6	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Total_Item_Investigations	2	2	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Total_Item_Requests	2	2	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Unique_Item_Investigations	1	1	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Unique_Item_Requests	1	1	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Unique_Title_Investigations	1	1	0
Gale Literature Resource Center	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LitRC	Book	Regular	Unique_Title_Requests	1	1	0
Gale Literature: Book Review Index	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BRIP	Database	Regular	Searches_Regular	9	6	3
Gale Literature: Book Review Index	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BRIP	Journal	Regular	Total_Item_Investigations	20	14	6
Gale Literature: Book Review Index	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BRIP	Journal	Regular	Total_Item_Requests	20	14	6
Gale Literature: Book Review Index	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BRIP	Journal	Regular	Unique_Item_Investigations	16	10	6
Gale Literature: Book Review Index	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:BRIP	Journal	Regular	Unique_Item_Requests	16	10	6
Gale Literature: LitFinder	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LITF	Book	Regular	Total_Item_Investigations	1	1	0
Gale Literature: LitFinder	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LITF	Book	Regular	Unique_Item_Investigations	1	1	0
Gale Literature: LitFinder	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:LITF	Book	Regular	Unique_Title_Investigations	1	1	0
Gale OneFile: Agriculture	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPAG	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Database	Regular	Searches_Regular	6	1	5
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	3	0	3
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Newspaper_or_Newsletter	Regular	Total_Item_Requests	3	0	3
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	2	0	2
Gale OneFile: Business	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:ITBC	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	2	0	2
Gale OneFile: Communications and Mass	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCM	Database	Regular	Searches_Regular	14	1	13
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Database	Regular	Searches_Regular	19	7	12
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Journal	Regular	Total_Item_Investigations	4	0	4
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Journal	Regular	Total_Item_Requests	4	0	4
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Journal	Regular	Unique_Item_Investigations	3	0	3
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Journal	Regular	Unique_Item_Requests	3	0	3
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Newspaper_or_Newsletter	Regular	Total_Item_Investigations	6	1	5
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Newspaper_or_Newsletter	Regular	Total_Item_Requests	6	1	5
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Newspaper_or_Newsletter	Regular	Unique_Item_Investigations	5	1	4
Gale OneFile: Computer Science	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CDB	Newspaper_or_Newsletter	Regular	Unique_Item_Requests	5	1	4
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Database	Regular	Searches_Regular	17	6	11
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Journal	Regular	Total_Item_Investigations	19	6	13
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Journal	Regular	Total_Item_Requests	19	6	13
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Journal	Regular	Unique_Item_Investigations	12	5	7
Gale OneFile: Contemporary Women's	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CWI	Journal	Regular	Unique_Item_Requests	12	5	7
Gale OneFile: CPI.Q	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:CPI	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Criminal Justice	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCJ	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Culinary Arts	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPCA	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Diversity Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPDS	Database	Regular	Searches_Regular	5	2	3
Gale OneFile: Economics and Theory	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPBE	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Database	Regular	Searches_Regular	8	3	5
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Journal	Regular	Total_Item_Investigations	4	2	2
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Journal	Regular	Total_Item_Requests	4	2	2
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Journal	Regular	Unique_Item_Investigations	3	1	2
Gale OneFile: Educator's Reference	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PROF	Journal	Regular	Unique_Item_Requests	3	1	2
Gale OneFile: Entrepreneurship	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPSB	Database	Regular	Searches_Regular	4	1	3
Gale OneFile: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPES	Database	Regular	Searches_Regular	10	6	4
Gale OneFile: Environmental Studies	Gale Cengage Learning	ISNI:0000000446918589	Gale	gale:PPES	Journal	Regular	Total_Item_Investigations	8	6	2
